lon,lat,kind,approximate,osm_id,source
11.2057912,56.6231178,turbine,True,node/2639962206,https://overpass-api.de/api/interpreter
11.2373422,56.6268169,turbine,True,node/2639962207,https://overpass-api.de/api/interpreter
11.1712959,56.629659,turbine,True,node/2639962208,https://overpass-api.de/api/interpreter
11.2016301,56.6304803,turbine,True,node/2639962209,https://overpass-api.de/api/interpreter
11.1692242,56.634849,turbine,True,node/2639962210,https://overpass-api.de/api/interpreter
11.2291024,56.6366088,turbine,True,node/2639962211,https://overpass-api.de/api/interpreter
11.1974458,56.637901,turbine,True,node/2639962212,https://overpass-api.de/api/interpreter
11.1669399,56.6401307,turbine,True,node/2639962213,https://overpass-api.de/api/interpreter
11.2250665,56.6414925,turbine,True,node/2639962214,https://overpass-api.de/api/interpreter
11.1647002,56.6452248,turbine,True,node/2639962215,https://overpass-api.de/api/interpreter
11.2212675,56.6463873,turbine,True,node/2639962216,https://overpass-api.de/api/interpreter
11.1907661,56.6496021,turbine,True,node/2639962217,https://overpass-api.de/api/interpreter
11.1621592,56.6504711,turbine,True,node/2639962218,https://overpass-api.de/api/interpreter
11.1871764,56.6556346,turbine,True,node/2639962219,https://overpass-api.de/api/interpreter
11.1596621,56.6556454,turbine,True,node/2639962220,https://overpass-api.de/api/interpreter
11.2138834,56.6562803,turbine,True,node/2639962221,https://overpass-api.de/api/interpreter
11.156861,56.6608077,turbine,True,node/2639962222,https://overpass-api.de/api/interpreter
11.2102749,56.6611369,turbine,True,node/2639962223,https://overpass-api.de/api/interpreter
11.1540679,56.6658873,turbine,True,node/2639962224,https://overpass-api.de/api/interpreter
11.2067514,56.666157,turbine,True,node/2639962225,https://overpass-api.de/api/interpreter
11.1511871,56.6710718,turbine,True,node/2639962227,https://overpass-api.de/api/interpreter
11.20342,56.6712024,turbine,True,node/2639962226,https://overpass-api.de/api/interpreter
11.1480069,56.6761037,turbine,True,node/2639962228,https://overpass-api.de/api/interpreter
11.2000691,56.6762564,turbine,True,node/2639962230,https://overpass-api.de/api/interpreter
11.1613689,56.6762682,turbine,True,node/2639962229,https://overpass-api.de/api/interpreter
11.1735999,56.6782029,turbine,True,node/2639962231,https://overpass-api.de/api/interpreter
11.1969326,56.6812633,turbine,True,node/2639962232,https://overpass-api.de/api/interpreter
11.1940359,56.6863181,turbine,True,node/2639962233,https://overpass-api.de/api/interpreter
11.1685046,56.6866594,turbine,True,node/2639962234,https://overpass-api.de/api/interpreter
11.1909666,56.6914251,turbine,True,node/2639962235,https://overpass-api.de/api/interpreter
11.1652824,56.6919815,turbine,True,node/2639962236,https://overpass-api.de/api/interpreter
11.188143,56.6964937,turbine,True,node/2639962237,https://overpass-api.de/api/interpreter
11.1618858,56.6970568,turbine,True,node/2639962238,https://overpass-api.de/api/interpreter
11.1853902,56.7016171,turbine,True,node/2639962239,https://overpass-api.de/api/interpreter
11.1720898,56.7018983,turbine,True,node/2639962240,https://overpass-api.de/api/interpreter
11.1586822,56.7021447,turbine,True,node/2639962241,https://overpass-api.de/api/interpreter
